Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
22308889,/m/04j1_9j,Ken Russell's Fall of the Louse of Usher,2002-02-03,,85.0,"{""/m/02h40lc"": ""English Language""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/04q6sch"": ""Comedy horror"", ""/m/01q03"": ""Cult"", ""/m/04t36"": ""Musical"", ""/m/075qx_b"": ""C-Movie"", ""/m/07s9rl0"": ""Drama"", ""/m/0vgkd"": ""Black comedy"", ""/m/05p553"": ""Comedy film""}",United Kingdom,Europe
7696753,/m/0kvfd1,Lord of the Flies,1963-08-13,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure"", ""/m/026ny"": ""Dystopia"", ""/m/060__y"": ""Film adaptation""}",United Kingdom,Europe
6471697,/m/0g6kwp,Ajooba,1991-04-12,,179.0,"{""/m/03k50"": ""Hindi Language""}","{""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure"", ""/m/01chg"": ""Bollywood""}",Soviet Union,Europe
413207,/m/025cm9,Taxi,1998-04-08,,86.0,"{""/m/064_8sq"": ""French Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0556j8"": ""Buddy film"", ""/m/01z4y"": ""Comedy""}",France,Europe
34689049,/m/0j3c4kr,A Song Goes Round the World,1933-05-09,,75.0,"{""/m/04306rv"": ""German Language""}","{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",Germany,Europe
36542079,/m/0cgs9r4,Peter schießt den Vogel ab,1959-05-14,,89.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language""}","{""/m/01z4y"": ""Comedy""}",West Germany,Europe
33843262,/m/04j2242,A Friend Is a Treasure,1981-12-10,,102.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/01z4y"": ""Comedy"", ""/m/03q4nz"": ""World cinema"", ""/m/03k9fj"": ""Adventure""}",Italy,Europe
5549065,/m/0ds11z,Sweeney Todd: The Demon Barber of Fleet Street,2007-12-03,152523164.0,117.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/0fx2s"": ""Tragedy"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama""}",United Kingdom,Europe
171058,/m/016z5x,Chaplin,1992-12-25,9493259.0,145.0,"{""/m/02h40lc"": ""English Language""}","{""/m/017fp"": ""Biography"", ""/m/0219x_"": ""Indie"", ""/m/04xvh5"": ""Costume drama"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/03bxz7"": ""Biographical film""}",France,Europe
171058,/m/016z5x,Chaplin,1992-12-25,9493259.0,145.0,"{""/m/02h40lc"": ""English Language""}","{""/m/017fp"": ""Biography"", ""/m/0219x_"": ""Indie"", ""/m/04xvh5"": ""Costume drama"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/03bxz7"": ""Biographical film""}",Italy,Europe
